Class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36
1,-0.03125,0.236364,0.142857,-0.107438,0.129032,0.163636,0.242105,-0.015625,0.09375,0.320388,0.136842,-0.09375,-0.16129,0.0769231,0.0217391,-0.186441,-0.1875,0.0873786,-0.0361446,-0.235772,-0.169231,0.165049,0.2,-0.04,-0.15625,0.0961538,-0.0804598,-0.183333,-0.138462,0.128713,-0.0105263,-0.15625,-0.40625,-0.0291262,-0.157895,-0.28125
1,-0.03125,0.309091,0.142857,-0.107438,-0.129032,0.381818,0.242105,-0.09375,-0.28125,0.242718,0.242105,-0.09375,-0.387097,0.153846,-0.0652174,-0.186441,-0.1875,0.417476,0.253012,-0.105691,-0.169231,0.339806,0.288889,0.008,-0.5,0.0384615,0.0114943,-0.25,-0.384615,0.128713,-0.0947368,-0.21875,-0.40625,0.184466,0.157895,-0.109375
1,-0.03125,0.309091,0.261905,-0.107438,NaN,0.236364,0.136842,-0.09375,-0.15625,0.320388,0.0526316,-0.15625,-0.258065,0.576923,0.391304,NaN,-0.1875,0.417476,0.253012,-0.105691,-0.169231,0.339806,0.0222222,-0.104,-0.15625,0.634615,0.517241,0.0666667,-0.138462,0.50495,0.347368,-0.046875,-0.28125,0.242718,0.157895,-0.15625
1,-0.03125,0.381818,0.238095,-0.0909091,-0.225806,0.309091,0.221053,-0.015625,-0.25,0.475728,0.431579,0.046875,-0.258065,0.230769,0.108696,-0.0847458,-0.40625,0.242718,0.060241,-0.138211,-0.384615,0.165049,0.2,-0.072,-0.28125,0.153846,0.172414,-0.15,-0.476923,0.267327,0.221053,-0.0625,-0.5,0.165049,0.136842,-0.125
1,-0.03125,0.381818,0.357143,0.0413223,NaN,0.381818,0.326316,0.046875,-0.03125,0.553398,0.536842,0.109375,-0.0322581,0.480769,0.282609,0.0677966,-0.0625,0.495146,0.349398,0.00813008,-0.0461538,0.417476,0.377778,0.008,0.09375,0.557692,0.402299,NaN,-0.0153846,0.60396,0.347368,0.015625,0.09375,0.572816,0.452632,0.078125
1,-0.03125,0.381818,0.357143,0.0413223,NaN,0.454545,0.326316,-0.015625,-0.03125,0.475728,0.431579,-0.015625,-0.16129,0.480769,0.391304,0.0677966,-0.1875,0.495146,0.349398,-0.0569106,-0.169231,0.592233,0.488889,0.008,-0.40625,0.461538,0.517241,NaN,-0.261538,0.50495,0.347368,0.015625,-0.28125,0.475728,0.263158,-0.046875
1,-0.03125,0.381818,0.357143,0.0413223,NaN,0.454545,0.536842,0.109375,-0.03125,0.631068,0.431579,0.046875,-0.0322581,0.480769,0.282609,0.0677966,-0.0625,0.417476,0.349398,-0.0569106,-0.0461538,0.417476,0.377778,0.072,-0.03125,0.557692,0.402299,NaN,0.107692,0.60396,0.452632,0.078125,0.09375,0.475728,0.452632,0.078125
1,-0.03125,0.381818,0.380952,0.00826446,-0.258065,0.236364,0.157895,-0.109375,-0.5,0.0485437,-0.157895,-0.21875,-0.258065,0.346154,0.326087,0.0338983,-0.46875,0.359223,0.180723,-0.0894309,-0.446154,0.106796,0.133333,-0.184,-0.46875,0.442308,0.425287,NaN,-0.446154,0.326733,0.284211,-0.09375,-0.59375,0.126214,0.0947368,-0.09375
1,-0.03125,0.381818,0.47619,-0.0247934,NaN,0.381818,0.431579,0.046875,-0.125,0.553398,0.515789,0.046875,NaN,0.461538,0.413043,0.0677966,-0.03125,0.475728,0.277108,-0.0569106,-0.0153846,0.398058,0.4,0.008,-0.0625,0.576923,0.356322,-0.0333333,-0.0461538,0.623762,0.410526,0.046875,-0.0625,0.417476,0.221053,-0.015625
1,-0.03125,0.381818,0.47619,0.0413223,-0.0967742,0.454545,0.515789,0.046875,-0.125,0.475728,0.431579,-0.015625,NaN,0.461538,0.217391,NaN,-0.03125,0.398058,0.373494,-0.0569106,-0.0153846,0.398058,0.511111,0.072,-0.0625,0.576923,0.471264,0.0333333,-0.0461538,0.445545,0.221053,-0.015625,-0.1875,0.417476,0.305263,-0.015625
